epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,55.1138,1.66044,1.80732,0.84823,0.7283,0.46384,0.50165,0.28055,1.44469,0.90373,0.80895,0.00996552,0.00332184,0.00996552,0.00332184,0.00996552,0.00332184,0.00996552,0.00332184
2,101.912,1.53075,0.91154,0.81993,0.78229,0.52994,0.58085,0.34753,1.31331,0.67915,0.79755,0.0197679,0.00658929,0.0197679,0.00658929,0.0197679,0.00658929,0.0197679,0.00658929
3,144.488,1.52503,0.82121,0.82105,0.81299,0.53097,0.59031,0.36057,1.33,0.67953,0.79953,0.0293722,0.00979073,0.0293722,0.00979073,0.0293722,0.00979073,0.0293722,0.00979073
4,187.04,1.44549,0.71705,0.8155,0.8227,0.57136,0.62544,0.38442,1.2437,0.62494,0.79674,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,229.617,1.36982,0.6452,0.80555,0.85168,0.58473,0.6516,0.40512,1.21301,0.58218,0.79597,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,271.89,1.31474,0.60314,0.80108,0.85348,0.60799,0.6711,0.40866,1.20209,0.54251,0.79108,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,314.37,1.2753,0.5785,0.79622,0.87555,0.60892,0.67944,0.42778,1.14996,0.531,0.78592,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,356.57,1.24692,0.55825,0.794,0.88711,0.6224,0.68995,0.44046,1.12039,0.50298,0.78464,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,398.975,1.22868,0.54645,0.79273,0.87822,0.62701,0.69723,0.44454,1.12365,0.50202,0.78391,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,441.388,1.21138,0.5374,0.7899,0.88069,0.63179,0.70207,0.45192,1.10621,0.48854,0.78255,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,483.686,1.20579,0.52998,0.78738,0.88954,0.63737,0.71214,0.45943,1.09949,0.48644,0.78076,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,526.028,1.18771,0.51835,0.78629,0.8906,0.64153,0.70724,0.45908,1.0854,0.47494,0.77872,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,568.423,1.17978,0.51361,0.7869,0.8878,0.65427,0.71904,0.46871,1.0818,0.47074,0.77832,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,610.686,1.16787,0.5057,0.78508,0.89473,0.65766,0.72246,0.47211,1.06162,0.4677,0.77743,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,652.969,1.16239,0.50313,0.78411,0.89229,0.65858,0.72644,0.47215,1.07842,0.46662,0.77763,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,695.498,1.14553,0.49324,0.78261,0.89663,0.66079,0.73116,0.48368,1.04958,0.44902,0.77464,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,737.713,1.13443,0.49016,0.7834,0.89973,0.65457,0.73323,0.48572,1.05553,0.45788,0.77539,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,780.21,1.13245,0.48884,0.78161,0.8964,0.66372,0.73466,0.48712,1.04369,0.44835,0.77328,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,822.514,1.13663,0.48609,0.77975,0.89854,0.66981,0.73962,0.48941,1.04214,0.44363,0.77245,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,864.998,1.12185,0.48085,0.78092,0.90152,0.65858,0.73723,0.48895,1.04794,0.4503,0.7737,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,907.521,1.11377,0.47717,0.77887,0.89949,0.67271,0.74193,0.49206,1.0334,0.43705,0.77262,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,949.818,1.10264,0.47161,0.77978,0.89914,0.67275,0.74469,0.49361,1.02497,0.43356,0.77083,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,992.388,1.10004,0.46906,0.77757,0.90105,0.67172,0.7472,0.49999,1.01433,0.43044,0.77035,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1034.47,1.08931,0.46452,0.77764,0.90046,0.67526,0.74726,0.4994,1.02114,0.42836,0.77189,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1076.6,1.08688,0.46228,0.77643,0.90567,0.67468,0.75055,0.50013,1.01772,0.42847,0.77099,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1118.91,1.0826,0.4608,0.7767,0.89788,0.67877,0.74952,0.50004,1.01675,0.42699,0.77018,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1161.14,1.08581,0.46002,0.7755,0.90623,0.67807,0.75124,0.50385,1.0094,0.42628,0.76933,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1203.35,1.07253,0.45571,0.77488,0.90516,0.68166,0.7555,0.50875,0.99982,0.41713,0.7688,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1245.8,1.07098,0.45576,0.77551,0.90382,0.67918,0.75408,0.50843,1.00138,0.41976,0.76905,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1288.14,1.06275,0.45132,0.77424,0.90366,0.68595,0.75785,0.5084,0.99594,0.41614,0.76833,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1330.31,1.0613,0.44846,0.77394,0.90784,0.6885,0.75938,0.51066,0.9936,0.41437,0.76859,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1372.71,1.05884,0.44778,0.77213,0.91109,0.68657,0.75989,0.5119,0.99189,0.41057,0.76797,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1414.84,1.05802,0.44721,0.77273,0.90735,0.68756,0.75948,0.51464,0.98744,0.40913,0.76765,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1456.95,1.0493,0.44231,0.77184,0.90446,0.6924,0.76148,0.51316,0.98519,0.40759,0.76726,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
